Year_and_Month,Num_Sold,Average_Transaction,Product,Categoryid
"2022 07",5,40.550000,"LTCA Year Up Coasters (Set of 4, Cork)",130
"2022 07",5,1291.710000,"Chromebook Pixelbook Go",120
"2022 07",5,2.400000,"Crayola Colored Pencils (Pack of 24)",110
"2022 07",5,109.220000,"Sennheiser HD 450BT",120
"2022 07",5,187.250000,"Data Structures and Algorithms",100
"2022 07",5,233.920000,"Conflict Resolution",100
"2022 07",5,26.520000,"A Brief History of Time",125
"2022 07",5,10.100000,"Letter Opener (Stainless Steel)",110
"2022 07",5,20.360000,Circe,125
"2022 07",5,217.340000,"Statistical Inference",100
"2022 07",5,24.200000,"Creative Mark Rhapsody Kolinsky Brushes (Set of 3)",115
"2022 07",5,4.320000,"Magnetic Clips (Assorted Colors, Set of 12)",110
"2022 07",5,76.860000,"RODE NT-USB Mini Microphone",120
"2022 07",5,12.880000,"Astrobrights Colored Paper (Assorted Colors, Pack of 100)",110
"2022 07",5,20.360000,"LTCA Year Up Flat-Brim Hat (Black)",130
"2022 07",5,6.020000,"Duck Brand Duct Tape (Black, 10 Yards)",110
"2022 07",5,27.520000,"Air-Dry Clay (10 lbs, White)",115
"2022 07",5,66.000000,"Conte Crayons (Set of 12)",115
"2022 07",5,12.400000,"Elastic Book Bands (Set of 3)",110
"2022 07",5,20.360000,"Arches Watercolor Paper (Hot Pressed, 10x14 inches)",115
"2022 07",5,296.600000,"Intuit QuickBooks Student Edition",120
"2022 07",5,28.920000,"LTCA Year Up Beanie Hat (Gray)",130
"2022 07",5,8.000000,"LTCA Year Up Mechanical Pencil (Pack of 2)",130
"2022 07",4,144.400000,"Human Resource Management",100
"2022 07",4,187.440000,"Mathematical Modeling",100
"2022 07",4,192.260000,"Organic Chemistry I",100
"2022 07",4,1717.700000,"Apple MacBook Pro (M2, 14-inch)",120
"2022 07",4,26.520000,"Black Holes and Baby Universes",125
"2022 07",4,13.130000,"The Hunger Games",125
"2022 07",4,28.360000,"Chavant NSP Soft Sculpting Clay (Green)",115
"2022 07",4,57.700000,"LTCA Year Up Lightweight Windbreaker (Gray)",130
"2022 07",4,152.400000,"Marketing Fundamentals",100
"2022 07",4,6.000000,"LTCA Year Up Earbuds (Wired)",130
"2022 07",4,24.330000,"Tabletop Easel (Adjustable)",115
"2022 07",4,27.520000,"The Body: A Guide for Occupants",125
"2022 07",4,241.400000,"International Relations Today",100
"2022 07",4,23.440000,Mockingjay,125
"2022 07",4,45.450000,"The Norton Anthology of English Literature",125
"2022 07",4,9.950000,"Pentel EnerGel Deluxe Retractable Pens (Blue)",110
"2022 07",4,232.400000,"Biology: Concepts and Connections",100
"2022 07",4,12.120000,"Strathmore Bristol Paper Pad (11x17 inches)",110
"2022 07",4,20.360000,"Bristol Smooth Paper Pad (9x12 inches)",115
"2022 07",4,1257.120000,"Microsoft Surface Laptop 5",120
"2022 07",4,164.200000,"American Literature: A Survey",100
"2022 07",4,336.480000,"Notion Pro",120
"2022 07",4,12.120000,"Index Cards (3x5, White, Pack of 500)",110
"2022 07",4,13.130000,"Rocketbook Fusion Smart Reusable Notebook",110
"2022 07",4,215.770000,"Numerical Methods",100
"2022 07",4,837.280000,"Realme Pad",120
"2022 07",4,10.160000,"Sticky Flags for Page Marking (Assorted Colors)",110
"2022 07",4,232.120000,"Urban Studies and Planning",100
"2022 07",4,33.100000,"LTCA Year Up Classic Cotton T-Shirt (Black)",130
"2022 07",4,1317.700000,"Dell Inspiron 15",120
"2022 07",4,24.200000,"LTCA Year Up Passport Holder (Leather)",130
"2022 07",4,43.300000,"LTCA Year Up Laptop Sleeve (15-inch)",130
"2022 07",4,57.120000,"LTCA Year Up Fleece Jacket (Gray)",130
"2022 07",4,12.150000,"Fiskars 12-Inch Paper Trimmer",115
"2022 07",4,6.020000,"Rubber Bands (Assorted Sizes, Pack of 100)",110
"2022 07",4,10.100000,"Cable Management Clips (Set of 20)",110
"2022 07",4,66.000000,"LTCA Year Up Full-Zip Hoodie (Black)",130
"2022 07",4,107.060000,"Beats Studio Buds",120
"2022 07",4,40.550000,"UHU Glue Stick (Pack of 3)",115
"2022 07",4,113.820000,"Jabra Elite 85h",120
"2022 07",4,102.090000,"Sony WH-1000XM5",120
"2022 07",4,24.280000,"Fan Brush Set (Set of 6, Synthetic Hair)",115
"2022 07",4,6.000000,"Canvas Panels (Pack of 10, 8x10 inches)",115
"2022 07",4,207.850000,"Sharp EL-W516T",120
"2022 07",4,39.750000,"Aleenes Tacky Glue (4 oz)",115
"2022 07",4,24.280000,"LTCA Year Up Umbrella (Golf Style)",130
"2022 07",4,25.450000,Becoming,125
"2022 07",4,201.800000,"World History: Ancient to Modern",100
"2022 07",4,144.000000,"Entrepreneurship and Innovation",100
"2022 07",4,6.520000,"Electric Desktop Pencil Sharpener (Heavy Duty)",110
"2022 07",4,5.240000,"Five Star Flex Hybrid NoteBinder",110
"2022 07",4,55.000000,"LTCA Year Up Long-Sleeve Tee (Gray)",130
"2022 07",4,24.280000,"Foam Brushes (Assorted Sizes, Pack of 20)",115
"2022 07",4,24.280000,"LTCA Year Up Gym Towel",130
"2022 07",4,24.280000,"LTCA Year Up Stadium Blanket",130
"2022 07",4,1250.960000,"HP Spectre x360",120
"2022 07",4,155.600000,"Music Theory Essentials",100
"2022 07",4,134.560000,"Advanced Calculus",100
"2022 07",4,57.700000,"LTCA Year Up Full-Zip Hoodie (Charcoal Gray)",130
"2022 07",4,228.770000,"The Basics of Anthropology",100
"2022 07",4,68.880000,"Logitech MX Master 3S Mouse",120
"2022 07",4,133.100000,"Business Law Today",100
"2022 07",4,8.450000,"Pilot Precise V5 RT Rollerball Pens (Black)",110
"2022 07",4,40.550000,"LTCA Year Up Cutting Board (Bamboo)",130
"2022 07",4,15.350000,"Stainless Steel Clay Modeling Tools (Set of 11)",115
"2022 07",4,75.880000,"Seagate Backup Plus Hub (8TB)",120
"2022 07",4,30.160000,"RAVPower 60W 6-Port USB Charger",120
"2022 07",4,6.000000,"Speedball Calligraphy Ink (Black)",115
"2022 07",4,57.120000,"Winsor & Newton Watercolor Markers (Set of 6)",115
"2022 07",4,26.520000,"LTCA Year Up Basketball (Regulation Size)",130
"2022 07",4,201.800000,"Theater Arts: A Practical Guide",100
"2022 07",4,51.960000,"Winsor & Newton Oil Paint Set (10 Tubes)",115
"2022 07",4,10.100000,"Paper Mate Pink Pearl Erasers (Pack of 6)",110
"2022 07",4,16.600000,"LTCA Year Up Spiral Notebook (Blue)",130
"2022 07",4,28.690000,"Apple MagSafe Charger",120
"2022 07",4,1317.700000,"Dell XPS 13",120
"2022 07",4,24.200000,"Royal & Langnickel Zen Brush Set (Acrylic, Set of 8)",115
"2022 07",4,237.280000,"Microsoft Office 365",120
"2022 07",4,652.900000,"Acer Enduro Urban T1",120
"2022 07",4,801.880000,"Apple iPad Pro (12.9-inch, M2)",120
"2022 07",4,24.200000,"Brave New World",125
"2022 07",4,59.580000,"Derwent Inktense Pencils (Set of 36)",115
"2022 07",4,39.750000,"LTCA Year Up Wall Clock (Round, Black)",130
"2022 07",4,12.120000,"Mead Cambridge Business Notebook (Professional Design)",110
"2022 07",4,52.960000,"LTCA Year Up Water Bottle (Plastic BPA-Free)",130
"2022 07",4,20.360000,"The Lord of the Rings",125
"2022 07",4,20.360000,"The Writer’s Guide to Grammar",125
"2022 07",4,187.250000,"Computer Programming: A Practical Introduction",100
"2022 07",4,10.160000,"Pentel Hi-Polymer Block Erasers (Pack of 3)",110
"2022 07",4,9.090000,"File Labels (White, Self-Adhesive, Pack of 50)",110
"2022 07",4,17.700000,"You Are a Badass",125
"2022 07",4,19.360000,"Da Vinci Maestro Series 10 Brushes (Round, Set of 3)",115
"2022 07",4,159.580000,"Organizational Behavior",100
"2022 07",4,903.900000,"Xiaomi Pad 5 Pro",120
"2022 07",4,97.740000,"Italian in 30 Days",100
"2022 07",4,171.900000,"Art History: The Renaissance to Modernism",100
"2022 07",4,237.280000,"Adobe Creative Cloud Suite",120
"2022 07",4,25.450000,Educated,125
"2022 07",4,19.360000,"Graph Paper Pads (Letter Size, Pack of 4)",110
"2022 07",4,379.400000,"Casio fx-CG50",120
"2022 07",4,57.120000,"LTCA Year Up Softshell Jacket (Black)",130
"2022 07",4,7.850000,"Fellowes Mesh Desk Organizer",110
"2022 07",4,815.000000,"Microsoft Surface Pro 9",120
"2022 07",4,114.710000,"Shure AONIC 50",120
"2022 07",4,119.810000,"HyperX Cloud II Wireless",120
"2022 07",4,183.480000,"Calculus II",100
"2022 07",4,115.280000,"Pathophysiology Essentials",100
"2022 07",4,75.420000,"Samsung T7 Touch Portable SSD (2TB)",120
"2022 07",4,48.000000,"Calligraphy Dip Pen with Nibs (Set of 6)",115
"2022 07",4,220.360000,"Gray’s Anatomy for Students",125
"2022 07",4,9.950000,"Westcott Titanium Bonded Scissors (8-inch)",110
"2022 07",4,17.700000,"Smead Expanding File Folder (13-Pocket, Letter Size)",110
"2022 07",4,8.000000,"Wooden Pottery Tools Set (Set of 8)",115
"2022 07",4,52.400000,"LTCA Year Up Performance Dri-Fit T-Shirt (Blue)",130
"2022 07",4,29.810000,"HP 65W Slim Charger",120
"2022 07",4,9.090000,"Daler-Rowney Gouache Paint Set (12 Tubes)",115
"2022 07",4,28.880000,"Dell 130W USB-C Charger",120
"2022 07",4,132.900000,"Microsoft Surface Headphones 2",120
"2022 07",4,188.120000,"The Art of Writing",100
"2022 07",4,13.130000,"X-Acto Precision Knife with Blade Refills",110
"2022 07",4,12.000000,"LTCA Year Up Phone Case (Samsung Galaxy)",130
"2022 07",4,20.320000,"How Not to Die",125
"2022 07",4,88.420000,"French Grammar and Composition",100
"2022 07",4,24.280000,"Crayola Washable Kids’ Paint Brushes (Set of 10)",115
"2022 07",4,8.450000,"Fiskars Softgrip Craft Scissors (5-inch)",110
"2022 07",4,76.520000,"NCLEX-RN Exam Prep",125
"2022 07",4,155.000000,"Operations Management",100
"2022 07",4,24.000000,"Plastic Palette Knives (Set of 5)",115
"2022 07",4,57.700000,"Sakura Pigma Micron Pens (Set of 8, Black)",115
"2022 07",3,19.360000,"Catching Fire",125
"2022 07",3,280.280000,"Networking Fundamentals",100
"2022 07",3,28.920000,Blink,125
"2022 07",3,233.920000,"Educational Psychology",100
"2022 07",3,179.390000,"Adolescent Psychology",100
"2022 07",3,157.280000,"Geometry: A Comprehensive Guide",100
"2022 07",3,20.360000,"Protractor and Compass Set",110
"2022 07",3,17.700000,"Girl, Wash Your Face",125
"2022 07",3,61.140000,"LTCA Year Up Embroidered Baseball Cap (Navy Blue)",130
"2022 07",3,111.900000,"Introduction to Mechanical Engineering",100
"2022 07",3,1294.300000,"Acer Chromebook Spin 713",120
"2022 07",3,30.620000,"Aukey Omnia 65W Fast Charger",120
"2022 07",3,33.100000,"Winsor & Newton Professional Watercolor Set (12 Tubes)",115
"2022 07",3,72.870000,"SanDisk Extreme Portable SSD (1TB)",120
"2022 07",3,26.520000,"Wooden Oval Paint Palette",115
"2022 07",3,65.500000,"LTCA Year Up Pullover Hoodie (Gray)",130
"2022 07",3,107.060000,"Bose QuietComfort 45",120
"2022 07",3,108.330000,"JBL Live 660NC",120
"2022 07",3,12.000000,"Pilot Parallel Pen Calligraphy Set",115
"2022 07",3,20.360000,Outliers,125
"2022 07",3,1257.120000,"Lenovo ThinkPad X1 Carbon",120
"2022 07",3,77.810000,"Philips Hue Play HDMI Sync Box",120
"2022 07",3,195.300000,"Forensic Science",100
"2022 07",3,7.850000,"Bic Cristal Ballpoint Pens (Blue, Pack of 10)",110
"2022 07",3,6.020000,"Dixon Oriole HB Pencils (Pack of 24)",110
"2022 07",3,225.450000,"Encyclopedia Britannica Concise Edition",125
"2022 07",3,13.000000,"LTCA Year Up Phone Stand (Adjustable)",130
"2022 07",3,27.520000,"LTCA Year Up Frisbee (Flying Disc)",130
"2022 07",3,8.000000,"LTCA Year Up Gel Pen (Pack of 2)",130
"2022 07",3,34.140000,"HyperJuice GaN 100W Charger",120
"2022 07",3,189.000000,"Web Development: HTML, CSS, and JavaScript",100
"2022 07",3,24.330000,"Studio Floor Easel (H-Frame, Wood)",115
"2022 07",3,14.320000,"ID Badge Holders with Clips (Pack of 10)",110
"2022 07",3,165.500000,"Principles of Accounting",100
"2022 07",3,17.700000,"Pendaflex Hanging File Folders (Assorted Colors, Pack of 25)",110
"2022 07",3,36.150000,"LTCA Year Up Gym Duffel Bag (Navy Blue)",130
"2022 07",3,39.720000,"LTCA Year Up Laptop Sleeve (13-inch)",130
"2022 07",3,7.000000,"Crayola Washable Watercolors (Set of 16)",115
"2022 07",3,7.850000,"3M Transparent Tape (Pack of 12)",110
"2022 07",3,6.020000,"Acrylic Desk Organizer Tray Set",110
"2022 07",3,126.180000,"SteelSeries Arctis 7+",120
"2022 07",3,10.100000,"Canson XL Mixed Media Sketchbook (9x12 inches)",110
"2022 07",3,28.920000,"Black Drawing Paper Pad (8.5x11 inches)",115
"2022 07",3,701.880000,"Apple iPad Air (10.9-inch)",120
"2022 07",3,61.140000,"Canson XL Mixed Media Pad (11x14 inches)",115
"2022 07",3,15.240000,"A Thousand Splendid Suns",125
"2022 07",3,57.700000,"LTCA Year Up Quarter-Zip Sweatshirt (Black)",130
"2022 07",3,116.200000,"Abstract Algebra",100
"2022 07",3,12.150000,"Olfa Rotary Cutter (45mm)",115
"2022 07",3,19.360000,"Avery Heavy-Duty 3-Ring Binder (1-inch, White)",110
"2022 07",3,1250.960000,"HP Envy 15",120
"2022 07",3,24.280000,"Sta-Wet Palette for Acrylic Paints",115
"2022 07",3,798.800000,"Chuwi HiPad Max",120
"2022 07",3,326.280000,"Zoom Video Conferencing Pro License",120
"2022 07",3,827.450000,"Lenovo Tab P12 Pro",120
"2022 07",3,752.820000,"ASUS Vivobook 13 Slate OLED",120
"2022 07",3,27.610000,"Crayola Glitter Glue (Set of 9)",115
"2022 07",3,25.450000,"Digital Minimalism",125
"2022 07",3,20.360000,"Daisy Jones & The Six",125
"2022 07",3,50.960000,"Pentel Arts Oil Pastels (Set of 50)",115
"2022 07",3,4.320000,"Prismacolor Premier Art Markers (Set of 12)",110
"2022 07",3,120.820000,"Razer Kraken X",120
"2022 07",3,26.400000,"The Art of War",125
"2022 07",3,232.400000,"Sports Management",100
"2022 07",3,9.450000,"Scotch Double-Sided Tape (Pack of 2)",110
"2022 07",3,272.240000,"Tableau Desktop",120
"2022 07",3,16.600000,"Wire Armature for Sculpting (16 Gauge, 10 feet)",115
"2022 07",3,214.320000,"Introduction to Statistics",100
"2022 07",3,101.960000,"Apple AirPods Pro 2nd Gen",120
"2022 07",3,24.200000,"CrashCourse in U.S. History",125
"2022 07",3,20.360000,"Deep Work",125
"2022 07",3,58.920000,"Kaplan GRE Prep 2024",125
"2022 07",3,265.070000,"SPSS Statistics for Students",120
"2022 07",3,19.480000,"LTCA Year Up Desk Organizer (Black)",130
"2022 07",3,61.140000,"LTCA Year Up Embroidered Baseball Cap (Black)",130
"2022 07",3,57.120000,"Sennelier Soft Pastels (Set of 24)",115
"2022 07",3,40.360000,"Atlas of World Geography",125
"2022 07",3,74.280000,"SAT Math Level 2 Study Guide",125
"2022 07",3,57.700000,"Sharpie Fine Point Markers (Set of 24)",115
"2022 07",3,7.850000,"Staples Standard Staples (5,000 Pack)",110
"2022 07",3,219.500000,"Principles of Biochemistry",100
"2022 07",3,26.520000,"Sculpey Polymer Clay Starter Kit (Set of 12 Colors)",115
"2022 07",3,7.850000,"Paper Cutter Trimmer (Letter Size)",110
"2022 07",3,58.920000,"LSAT Trainer",125
"2022 07",3,5.240000,"Day Designer Daily Planner (Undated)",110
"2022 07",3,23.440000,"Artify Professional Oil Paint Brush Set (15 Brushes)",115
"2022 07",3,27.520000,"DAS Modelling Clay (2.2 lbs, Terra Cotta)",115
"2022 07",3,241.400000,"Criminology: A Contemporary Introduction",100
"2022 07",3,28.360000,"Guns, Germs, and Steel",125
"2022 07",3,26.400000,"LTCA Year Up Picnic Blanket",130
"2022 07",3,7.850000,"Pilot Precise V5 RT Rollerball Pens (Red)",110
"2022 07",3,272.240000,"Evernote Premium",120
"2022 07",3,2.880000,"Sakura Pigma Micron Pens (Black, Set of 6)",110
"2022 07",3,40.550000,"Double-Sided Adhesive Tape (Roll)",115
"2022 07",3,63.700000,"Fabriano Watercolor Paper (12-Sheet Block, Cold Pressed)",115
"2022 07",3,9.090000,"Badge Lanyards (Assorted Colors, Set of 5)",110
"2022 07",3,221.480000,"Fundamentals of Nursing",100
"2022 07",3,127.520000,"Oxford English Dictionary",125
"2022 07",3,7.850000,"Ticonderoga No",110
"2022 07",3,195.300000,"Ethics in Research",100
"2022 07",2,31.890000,"Google Pixel USB-C 30W Power Adapter",120
"2022 07",2,166.000000,"Circuits and Systems",100
"2022 07",2,12.000000,"Spray Fixative for Drawings (11 oz)",115
"2022 07",2,2.880000,"Push Pins (Clear, Pack of 200)",110
"2022 07",2,39.750000,"Mod Podge Matte Finish (8 oz)",115
"2022 07",2,48.960000,"Arteza Acrylic Paint Set (60 Colors)",115
"2022 07",2,134.800000,"Physical Therapy Principles",100
"2022 07",2,68.880000,"Microsoft Sculpt Ergonomic Keyboard",120
"2022 07",2,19.360000,"LTCA Year Up Keychain (Rubberized)",130
"2022 07",2,132.300000,"Robotics: Concepts and Control",100
"2022 07",2,57.700000,"Tombow Dual Brush Pens (Set of 20)",115
"2022 07",2,110.250000,"Introduction to Electrical Engineering",100
"2022 07",2,318.960000,"R Studio Desktop",120
"2022 07",2,145.970000,"Discrete Mathematics",100
"2022 07",2,39.720000,"Liquitex Basics Acrylic Paint Set (48 Tubes)",115
"2022 07",2,57.120000,"LTCA Year Up Track Jacket (Navy Blue)",130
"2022 07",2,195.090000,"Introduction to Cybersecurity",100
"2022 07",2,188.200000,"Fluid Mechanics",100
"2022 07",2,1376.440000,"LG Gram 17",120
"2022 07",2,26.520000,"A Clash of Kings",125
"2022 07",2,20.360000,"Newsprint Paper Pad (18x24 inches)",115
"2022 07",2,50.360000,"Princeton Review ACT Prep",125
"2022 07",2,26.520000,Cosmos,125
"2022 07",2,65.500000,"Staedtler Mars Lumograph Graphite Pencils (Set of 12)",115
"2022 07",2,193.250000,"Fundamentals of Thermodynamics",100
"2022 07",2,28.000000,"Artist Blending Stumps (Pack of 6)",115
"2022 07",2,12.120000,"Born a Crime",125
"2022 07",2,165.500000,"Strategic Management",100
"2022 07",2,20.320000,"The Chicago Manual of Style",125
"2022 07",2,20.360000,"Moleskine Classic Hardcover Notebook (Grid, Red)",110
"2022 07",2,68.880000,"Logitech K780 Multi-Device Keyboard",120
"2022 07",2,12.000000,"LTCA Year Up Pennant Flag (Black and Gold)",130
"2022 07",2,24.200000,"Everything is Fcked*",125
"2022 07",2,4.000000,"LTCA Year Up Car Decal (Window Cling)",130
"2022 07",2,20.360000,Verity,125
"2022 07",2,28.360000,"The Alchemist",125
"2022 07",2,32.640000,"Strathmore Toned Tan Sketch Paper Pad (9x12 inches)",115
"2022 07",2,29.300000,"Wax Carving Tools (Set of 10)",115
"2022 07",2,17.700000,"Pride and Prejudice",125
"2022 07",2,75.420000,"WD My Passport HDD (4TB)",120
"2022 07",2,43.130000,"Cracking the GMAT",125
"2022 07",2,27.610000,"LTCA Year Up Wireless Charger (Black)",130
"2022 07",2,272.240000,"Zotero Citation Manager",120
"2022 07",2,77.360000,"Sony ECM-W2BT Wireless Microphone",120
"2022 07",2,20.360000,"LTCA Year Up Trucker Hat (Blue Mesh)",130
"2022 07",2,346.680000,"Sketch App License",120
"2022 07",2,12.300000,"LTCA Year Up Poster (Motivational Quote)",130
"2022 07",2,393.210000,"HP Prime Graphing Calculator",120
"2022 07",2,88.420000,"English as a Second Language",100
"2022 07",2,74.280000,"GRE Math Review",125
"2022 07",2,17.700000,"The Immortal Life of Henrietta Lacks",125
"2022 07",2,19.360000,Wild,125
"2022 07",2,25.450000,"Spark Joy",125
"2022 07",2,12.300000,"Elmers Glue-All (16 oz)",115
"2022 07",2,65.500000,"General’s Charcoal Pencils (Set of 6)",115
"2022 07",2,17.700000,"Homo Deus: A Brief History of Tomorrow",125
"2022 07",2,20.360000,"On Writing",125
"2022 07",2,6.000000,"Masking Tape (Artist Grade)",115
"2022 07",2,9.090000,"LTCA Year Up Coffee Tumbler (Stainless Steel)",130
"2022 07",2,17.700000,"Erin Condren LifePlanner (Vertical Layout)",110
"2022 07",2,131.070000,"Turtle Beach Stealth 700 Gen 2",120
"2022 07",2,76.520000,"GMAT Quantitative Practice Tests",125
"2022 07",2,27.520000,"Jane Eyre",125
"2022 07",2,51.960000,"LTCA Year Up Water Bottle (Stainless Steel)",130
"2022 07",2,18.000000,"LTCA Year Up Sticky Notes Set",130
"2022 07",2,25.450000,"The Intelligent Investor",125
"2022 07",2,241.400000,"Gender Studies: Key Texts",100
"2022 07",2,13.000000,"Kid-Safe Scissors (Set of 2)",115
"2022 07",2,230.700000,"Child Development",100
"2022 07",2,6.000000,"ArtBin Essentials Box (Plastic Storage Container)",115
"2022 07",2,5.000000,"Fine Mist Spray Bottle for Watercolors",115
"2022 07",2,25.450000,"Rich Dad Poor Dad",125
"2022 07",2,20.360000,"Wall-Mounted Dry Erase Board (18x24 inches)",110
"2022 07",2,28.690000,"Apple 67W USB-C Power Adapter",120
"2022 07",2,10.100000,"Holbein Artist Gouache Set (24 Colors)",115
"2022 07",2,40.360000,"Cambridge Advanced Learner’s Dictionary",125
"2022 07",2,7.850000,"Zebra Mildliner Highlighters (Pastel Colors, Pack of 15)",110
"2022 07",2,29.810000,"Anker PowerPort III 65W Pod",120
"2022 07",2,232.400000,"Anatomy and Physiology",100
"2022 07",2,59.580000,"LTCA Year Up Pullover Hoodie (Black)",130
"2022 07",2,10.160000,"Desk Drawer Organizer Bins (Set of 6)",110
"2022 07",2,77.810000,"AVerMedia Live Streamer CAM 513",120
"2022 07",2,19.360000,"Acrylic Paint Set (Set of 12 Tubes)",110
"2022 07",2,26.520000,"A Storm of Swords",125
"2022 07",2,6.020000,"Sharpie Fine Point Permanent Markers (Black)",110
"2022 07",2,63.700000,"LTCA Year Up Trucker Hat (Black Mesh)",130
"2022 07",1,10.160000,"Artist Paintbrush Set (Pack of 10)",110
"2022 07",1,24.280000,"Man’s Search for Meaning",125
"2022 07",1,24.280000,"The Handmaid’s Tale",125
"2022 07",1,36.150000,"Reeves Acrylic Paints (Set of 24)",115
"2022 07",1,12.700000,"APA Manual of Style (7th Edition)",125
"2022 07",1,26.520000,"LTCA Year Up Soccer Ball (Regulation Size)",130
"2022 07",1,205.800000,"Microeconomics: An Introduction",100
"2022 07",1,8.000000,"LTCA Year Up Trophy Replica (Mini)",130
"2022 07",1,24.200000,"The Subtle Art of Not Giving a Fck*",125
"2022 07",1,17.700000,"The Great Gatsby",125
"2022 07",1,182.250000,"Introduction to Public Health",100
"2022 07",1,228.300000,"Research Methods in Social Sciences",100
"2022 07",1,217.340000,"Community Health",100
"2022 07",1,34.430000,"UGREEN Nexode 140W USB-C Charger",120
"2022 07",1,112.000000,"LTCA Year Up Noise-Canceling Headphones",130
"2022 07",1,27.520000,"Wuthering Heights",125
"2022 07",1,20.360000,"The Secret",125
"2022 07",1,76.520000,"CPA Exam Review",125
"2022 07",1,209.240000,"Epidemiology: Basics and Applications",100
"2022 07",1,24.280000,"Daring Greatly",125
"2022 07",1,20.360000,"DK Eyewitness Travel Guides: Europe",125
"2022 07",1,20.360000,"Your Money or Your Life",125
"2022 07",1,205.800000,"Clinical Anatomy",100
"2022 07",1,30.360000,"National Geographic Field Guide to Birds of North America",125
"2022 07",1,69.900000,"Corsair K95 RGB Platinum Keyboard",120
"2022 07",1,20.360000,"The Four Agreements",125
"2022 07",1,108.330000,"Samsung Galaxy Buds 2 Pro",120
"2022 07",1,6.850000,"Bostitch Heavy-Duty Stapler (100 Sheet Capacity)",110
"2022 07",1,23.440000,"CliffsNotes Algebra I",125
"2022 07",1,52.960000,"Gamblin 1980 Oil Color Set (8 Tubes)",115
"2022 07",1,23.440000,"Quiet: The Power of Introverts",125
"2022 07",1,204.580000,"Chinese Characters Made Easy",100
"2022 07",1,13.130000,"The Glass Castle",125
"2022 07",1,42.120000,"MCAT Official Prep Guide",125
"2022 07",1,12.700000,"The Kite Runner",125
"2022 07",1,40.360000,"The Penguin Dictionary of Literary Terms",125
"2022 07",1,20.360000,"The Blue Zones",125
"2022 07",1,178.600000,"Calculus I",100
"2022 07",1,26.520000,"Little Women",125
"2022 07",1,20.360000,"The 4-Hour Workweek",125
"2022 07",1,20.360000,"Moleskine Classic Hardcover Notebook (Ruled, Black)",110
"2022 07",1,20.320000,"The Night Circus",125
"2022 07",1,25.450000,"The Seven Husbands of Evelyn Hugo",125
"2022 07",1,837.520000,"Google Pixel Tablet",120
"2022 07",1,29.300000,Collapse,125
"2022 07",1,24.280000,"East of Eden",125
"2022 07",1,379.400000,"Casio fx-9750GII",120
"2022 07",1,23.440000,"Into the Wild",125
"2022 07",1,15.240000,"MLA Handbook (9th Edition)",125
"2022 07",1,24.200000,"Animal Farm",125
"2022 07",1,17.700000,"Sapiens: A Brief History of Humankind",125
"2022 07",1,9.090000,"Field Notes Original Kraft Memo Books (3-Pack)",110
"2022 07",1,25.450000,"Atlas of Human Anatomy",125
"2022 07",1,254.900000,"MATLAB Student Edition",120
"2022 08",11,52.900000,"GMAT Study Guide",100
"2022 08",11,9.450000,"Scotch Double-Sided Tape (Pack of 2)",110
"2022 08",11,189.000000,"Web Development: HTML, CSS, and JavaScript",100
"2022 08",11,191.950000,"Ethics and Moral Reasoning",100
"2022 08",11,88.420000,"French Grammar and Composition",100
"2022 08",11,20.360000,"Dry Erase Wall Calendar (Monthly Layout)",110
"2022 08",11,4.320000,"Prismacolor Premier Art Markers (Set of 12)",110
"2022 08",10,20.360000,"Cork Bulletin Board with Push Pins",110
"2022 08",10,164.200000,"American Literature: A Survey",100
"2022 08",10,12.880000,"Page Magnifier Sheet",110
"2022 08",10,19.360000,"Graph Paper Pads (Letter Size, Pack of 4)",110
"2022 08",10,1250.960000,"HP Spectre x360",120
"2022 08",10,187.250000,"Computer Programming: A Practical Introduction",100
"2022 08",9,36.150000,"Reeves Acrylic Paints (Set of 24)",115
"2022 08",9,24.280000,"Man’s Search for Meaning",125
"2022 08",9,26.520000,"LTCA Year Up Basketball (Regulation Size)",130
"2022 08",9,11.000000,"LTCA Year Up Clipboard (Plastic)",130
"2022 08",9,50.960000,"LTCA Year Up Quarter-Zip Sweatshirt (Maroon)",130
"2022 08",9,2.400000,"Crayola Crayons (Pack of 64)",110
"2022 08",9,652.900000,"Acer Enduro Urban T1",120
"2022 08",9,6.020000,"Dixon Oriole HB Pencils (Pack of 24)",110
"2022 08",9,17.700000,"Pride and Prejudice",125
"2022 08",9,77.810000,"AVerMedia Live Streamer CAM 513",120
"2022 08",8,12.150000,"Fiskars 12-Inch Paper Trimmer",115
"2022 08",8,7.850000,"Paper Cutter Trimmer (Letter Size)",110
"2022 08",8,24.000000,"LTCA Year Up Certificate Frame",130
"2022 08",8,23.440000,Dune,125
"2022 08",8,13.130000,"Heavy-Duty Hole Punch (3 Hole)",110
"2022 08",8,318.960000,"R Studio Desktop",120
"2022 08",8,698.800000,"Teclast T40 Pro",120
"2022 08",8,1275.440000,"Samsung Galaxy Book Pro",120
"2022 08",8,39.720000,"Liquitex Basics Acrylic Paint Set (48 Tubes)",115
"2022 08",8,28.000000,"LTCA Year Up Snow Globe",130
"2022 08",8,23.440000,"LTCA Year Up Lanyard (Navy Blue)",130
"2022 08",8,6.000000,"LTCA Year Up Enamel Pin (Round Logo)",130
"2022 08",8,14.320000,"ID Badge Holders with Clips (Pack of 10)",110
"2022 08",8,12.120000,"Index Cards (3x5, White, Pack of 500)",110
